product_id,listing_id,market,price,sku,grade_code
f5b014e3-b071-41a3-af52-7e23d1ae8e3f,985611,fr-fr,402.00,,PLATINUM
f5ad8c67-9371-4fbe-bffa-f78faabfeb32,985610,fr-fr,506.00,,DIAMOND
f5ad8c67-9371-4fbe-bffa-f78faabfeb32,985609,fr-fr,250.00,,GOLD
f5ad8c67-9371-4fbe-bffa-f78faabfeb32,985608,fr-fr,496.00,,PLATINUM
f6e0ea5b-9ec2-4c62-92d8-dd913faca1b4,985607,fr-fr,566.00,,PLATINUM
f6e0ea5b-9ec2-4c62-92d8-dd913faca1b4,985605,fr-fr,586.00,,DIAMOND
f5a10ecd-e056-4e1e-a88c-c1dc50c6ccd7,985604,fr-fr,1306.00,,DIAMOND
f5a10ecd-e056-4e1e-a88c-c1dc50c6ccd7,985603,fr-fr,1258.00,,PLATINUM
f5a10ecd-e056-4e1e-a88c-c1dc50c6ccd7,985602,fr-fr,701.00,,GOLD
f6cafe56-37c1-490f-9928-24889b2c3fb2,985601,fr-fr,522.00,,PLATINUM
f6cafe56-37c1-490f-9928-24889b2c3fb2,985600,fr-fr,300.00,,GOLD
f6cafe56-37c1-490f-9928-24889b2c3fb2,985599,fr-fr,587.00,,DIAMOND
f47c9dd8-1f1f-452e-986c-b560506adfcc,985598,fr-fr,300.00,,GOLD
f47c9dd8-1f1f-452e-986c-b560506adfcc,985597,fr-fr,697.00,,PLATINUM
f47c9dd8-1f1f-452e-986c-b560506adfcc,985596,fr-fr,707.00,,DIAMOND
f6c1b9b7-e6f9-4722-ada1-5a10a4346061,985595,fr-fr,444.00,,DIAMOND
f6c1b9b7-e6f9-4722-ada1-5a10a4346061,985594,fr-fr,300.00,,GOLD
f6c1b9b7-e6f9-4722-ada1-5a10a4346061,985593,fr-fr,441.00,,PLATINUM
f45425f3-6fe7-4712-9bcb-3a9755f7ed59,985592,fr-fr,150.00,,GOLD
f45425f3-6fe7-4712-9bcb-3a9755f7ed59,985591,fr-fr,602.00,,DIAMOND
f45425f3-6fe7-4712-9bcb-3a9755f7ed59,985590,fr-fr,571.00,,PLATINUM
f35923b0-972c-4a6c-be0d-2cd74ae84ecb,985589,fr-fr,541.00,,PLATINUM
f35923b0-972c-4a6c-be0d-2cd74ae84ecb,985588,fr-fr,450.00,,GOLD
f35923b0-972c-4a6c-be0d-2cd74ae84ecb,985587,fr-fr,571.00,,DIAMOND
f6923b6f-8e7c-4d10-b16b-499cbc9c7f5d,985585,fr-fr,431.00,,PLATINUM
f6923b6f-8e7c-4d10-b16b-499cbc9c7f5d,985584,fr-fr,446.00,,DIAMOND
f4181d6d-6284-4010-95c8-727a7c19d45e,985583,fr-fr,501.00,,PLATINUM
f4181d6d-6284-4010-95c8-727a7c19d45e,985581,fr-fr,538.00,,DIAMOND
f5f23226-2355-48c1-b8e4-1a886a02bb0d,985580,fr-fr,441.00,,DIAMOND
f5f23226-2355-48c1-b8e4-1a886a02bb0d,985579,fr-fr,498.00,,PLATINUM
f5f23226-2355-48c1-b8e4-1a886a02bb0d,985578,fr-fr,300.00,,GOLD
f3e7c65d-8f52-43c0-8a8e-5921a5fb7273,985577,fr-fr,677.00,,DIAMOND
f3e7c65d-8f52-43c0-8a8e-5921a5fb7273,985575,fr-fr,665.00,,PLATINUM
f2e343a9-c0f6-45ba-a696-171d3e502f00,985574,fr-fr,576.00,,DIAMOND
f2e343a9-c0f6-45ba-a696-171d3e502f00,985573,fr-fr,526.00,,PLATINUM
f3cd7664-8667-464a-88d5-0c11d4c70d31,985571,fr-fr,709.00,,DIAMOND
f3cd7664-8667-464a-88d5-0c11d4c70d31,985570,fr-fr,697.00,,PLATINUM
f297f325-6919-435b-94cc-b161f7a3300b,985568,fr-fr,350.00,,GOLD
f297f325-6919-435b-94cc-b161f7a3300b,985567,fr-fr,679.00,,DIAMOND
f297f325-6919-435b-94cc-b161f7a3300b,985566,fr-fr,686.00,,PLATINUM
f3961b38-375c-44c4-882a-3dcf6948d099,985565,fr-fr,350.00,,GOLD
f3961b38-375c-44c4-882a-3dcf6948d099,985564,fr-fr,685.00,,PLATINUM
f3961b38-375c-44c4-882a-3dcf6948d099,985563,fr-fr,707.00,,DIAMOND
f2842ed3-ce7b-4c00-a36a-9aa82cbb97e9,985562,fr-fr,150.00,,GOLD
f2842ed3-ce7b-4c00-a36a-9aa82cbb97e9,985561,fr-fr,517.00,,DIAMOND
f2842ed3-ce7b-4c00-a36a-9aa82cbb97e9,985560,fr-fr,491.00,,PLATINUM
f23aa71a-1f47-4e1c-82bb-24c7de617e05,985559,fr-fr,518.00,,PLATINUM
f23aa71a-1f47-4e1c-82bb-24c7de617e05,985557,fr-fr,520.00,,DIAMOND
f362c52b-9041-490d-8769-ca5f953ddaeb,985556,fr-fr,201.00,,GOLD
