"product_id";"product_uuid";"listing_id";"market";"price";"sku";"grade_code";"grade";"category";"brand";"model";"storage";"buybox_price";"is_buybox";"status"
"20428";"ff69770a-a2e8-418c-b286-b7e8ab17962a";"985705";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"512";"385.00";"False";"Online"
"20428";"ff69770a-a2e8-418c-b286-b7e8ab17962a";"985704";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"512";"120.00";"False";"Online"
"20427";"fc05c128-edaf-4bbb-8d0e-f4efcab0ebfe";"985703";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"512";"722.00";"False";"Online"
"20427";"fc05c128-edaf-4bbb-8d0e-f4efcab0ebfe";"985702";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"512";"400.00";"False";"Online"
"20427";"fc05c128-edaf-4bbb-8d0e-f4efcab0ebfe";"985701";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"512";"676.00";"False";"Online"
"20426";"fc81d492-cef1-4b50-81c5-0900ede5a0d4";"985700";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"8192";"909.00";"False";"Online"
"20426";"fc81d492-cef1-4b50-81c5-0900ede5a0d4";"985699";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"8192";"100.00";"True";"Online"
"20426";"fc81d492-cef1-4b50-81c5-0900ede5a0d4";"985698";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"8192";"896.00";"False";"Online"
"20423";"fbf75b9b-8c7d-49ac-b001-cc9450771ce7";"985697";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"2000";"737.00";"False";"Online"
"20423";"fbf75b9b-8c7d-49ac-b001-cc9450771ce7";"985696";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"2000";"123.00";"False";"Online"
"20423";"fbf75b9b-8c7d-49ac-b001-cc9450771ce7";"985695";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"2000";"772.00";"False";"Online"
"20422";"fc6e0e81-635d-4563-8198-ed37b2ee0145";"985694";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"512";"100.00";"True";"Online"
"20422";"fc6e0e81-635d-4563-8198-ed37b2ee0145";"985693";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"512";"380.00";"False";"Online"
